sepal_length;sepal_width;petal_length;petal_width;species
51;35;14;2;Iris-setosa
49;3;14;2;Iris-setosa
47;32;13;2;Iris-setosa
46;31;15;2;Iris-setosa
5;36;14;2;Iris-setosa
54;39;17;4;Iris-setosa
46;34;14;3;Iris-setosa
5;34;15;2;Iris-setosa
44;29;14;2;Iris-setosa
49;31;15;1;Iris-setosa
54;37;15;2;Iris-setosa
48;34;16;2;Iris-setosa
48;3;14;1;Iris-setosa
43;3;11;1;Iris-setosa
58;4;12;2;Iris-setosa
57;44;15;4;Iris-setosa
54;39;13;4;Iris-setosa
51;35;14;3;Iris-setosa
57;38;17;3;Iris-setosa
51;38;15;3;Iris-setosa
54;34;17;2;Iris-setosa
51;37;15;4;Iris-setosa
46;36;1;2;Iris-setosa
51;33;17;5;Iris-setosa
48;34;19;2;Iris-setosa
5;3;16;2;Iris-setosa
5;34;16;4;Iris-setosa
52;35;15;2;Iris-setosa
52;34;14;2;Iris-setosa
47;32;16;2;Iris-setosa
48;31;16;2;Iris-setosa
54;34;15;4;Iris-setosa
52;41;15;1;Iris-setosa
55;42;14;2;Iris-setosa
49;31;15;1;Iris-setosa
5;32;12;2;Iris-setosa
55;35;13;2;Iris-setosa
49;31;15;1;Iris-setosa
44;3;13;2;Iris-setosa
51;34;15;2;Iris-setosa
5;35;13;3;Iris-setosa
45;23;13;3;Iris-setosa
44;32;13;2;Iris-setosa
5;35;16;6;Iris-setosa
51;38;19;4;Iris-setosa
48;3;14;3;Iris-setosa
51;38;16;2;Iris-setosa
46;32;14;2;Iris-setosa
53;37;15;2;Iris-setosa
5;33;14;2;Iris-setosa
7;32;47;14;Iris-versicolor
64;32;45;15;Iris-versicolor
69;31;49;15;Iris-versicolor
55;23;4;13;Iris-versicolor
65;28;46;15;Iris-versicolor
57;28;45;13;Iris-versicolor
63;33;47;16;Iris-versicolor
49;24;33;1;Iris-versicolor
66;29;46;13;Iris-versicolor
52;27;39;14;Iris-versicolor
5;2;35;1;Iris-versicolor
59;3;42;15;Iris-versicolor
6;22;4;1;Iris-versicolor
61;29;47;14;Iris-versicolor
56;29;36;13;Iris-versicolor
67;31;44;14;Iris-versicolor
56;3;45;15;Iris-versicolor
58;27;41;1;Iris-versicolor
62;22;45;15;Iris-versicolor
56;25;39;11;Iris-versicolor
59;32;48;18;Iris-versicolor
61;28;4;13;Iris-versicolor
63;25;49;15;Iris-versicolor
61;28;47;12;Iris-versicolor
64;29;43;13;Iris-versicolor
66;3;44;14;Iris-versicolor
68;28;48;14;Iris-versicolor
67;3;5;17;Iris-versicolor
6;29;45;15;Iris-versicolor
57;26;35;1;Iris-versicolor
55;24;38;11;Iris-versicolor
55;24;37;1;Iris-versicolor
58;27;39;12;Iris-versicolor
6;27;51;16;Iris-versicolor
54;3;45;15;Iris-versicolor
6;34;45;16;Iris-versicolor
67;31;47;15;Iris-versicolor
63;23;44;13;Iris-versicolor
56;3;41;13;Iris-versicolor
55;25;4;13;Iris-versicolor
55;26;44;12;Iris-versicolor
61;3;46;14;Iris-versicolor
58;26;4;12;Iris-versicolor
5;23;33;1;Iris-versicolor
56;27;42;13;Iris-versicolor
57;3;42;12;Iris-versicolor
57;29;42;13;Iris-versicolor
62;29;43;13;Iris-versicolor
51;25;3;11;Iris-versicolor
57;28;41;13;Iris-versicolor
63;33;6;25;Iris-virginica
58;27;51;19;Iris-virginica
71;3;59;21;Iris-virginica
63;29;56;18;Iris-virginica
65;3;58;22;Iris-virginica
76;3;66;21;Iris-virginica
49;25;45;17;Iris-virginica
73;29;63;18;Iris-virginica
67;25;58;18;Iris-virginica
72;36;61;25;Iris-virginica
65;32;51;2;Iris-virginica
64;27;53;19;Iris-virginica
68;3;55;21;Iris-virginica
57;25;5;2;Iris-virginica
58;28;51;24;Iris-virginica
64;32;53;23;Iris-virginica
65;3;55;18;Iris-virginica
77;38;67;22;Iris-virginica
77;26;69;23;Iris-virginica
6;22;5;15;Iris-virginica
69;32;57;23;Iris-virginica
56;28;49;2;Iris-virginica
77;28;67;2;Iris-virginica
63;27;49;18;Iris-virginica
67;33;57;21;Iris-virginica
72;32;6;18;Iris-virginica
62;28;48;18;Iris-virginica
61;3;49;18;Iris-virginica
64;28;56;21;Iris-virginica
72;3;58;16;Iris-virginica
74;28;61;19;Iris-virginica
79;38;64;2;Iris-virginica
64;28;56;22;Iris-virginica
63;28;51;15;Iris-virginica
61;26;56;14;Iris-virginica
77;3;61;23;Iris-virginica
63;34;56;24;Iris-virginica
64;31;55;18;Iris-virginica
6;3;48;18;Iris-virginica
69;31;54;21;Iris-virginica
67;31;56;24;Iris-virginica
69;31;51;23;Iris-virginica
58;27;51;19;Iris-virginica
68;32;59;23;Iris-virginica
67;33;57;25;Iris-virginica
67;3;52;23;Iris-virginica
63;25;5;19;Iris-virginica
65;3;52;2;Iris-virginica
62;34;54;23;Iris-virginica
59;3;51;18;Iris-virginica
